N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
58,유한양행,"74,900","1,700",-2.22%,"1,000","50,076","66,857",20.50,"970,419",28.85,2.43,
59,강원랜드,"23,400",50,-0.21%,500,"50,062","213,940",22.20,"950,725",-26.35,9.16,
60,녹십자,"424,000","3,000",-0.70%,"5,000","49,551","11,687",20.20,"265,167",113.73,-0.35,
61,한국금융지주,"88,600","1,600",+1.84%,"5,000","49,373","55,726",30.12,"732,627",8.11,18.14,
62,대한항공,"28,200",50,-0.18%,"5,000","49,127","174,210",12.50,"2,898,626",-6.43,-22.09,
63,오리온,"123,500","1,000",-0.80%,500,"48,827","39,536",41.85,"151,720",17.84,14.24,
64,이마트,"168,500","13,500",+8.71%,"5,000","46,971","27,876",31.53,"1,079,764",8.41,2.76,
65,한미약품,"394,000","16,000",+4.23%,"2,500","46,662","11,843",13.30,"242,071","-3,825.24",7.30,
66,삼성중공업,"7,360",20,-0.27%,"5,000","46,368","630,000",15.55,"10,331,676",-3.71,-21.88,
67,한국타이어앤테크놀로지,"37,400",50,+0.13%,500,"46,329","123,875",39.25,"628,281",18.00,6.03,
68,아모레G,"55,300",100,+0.18%,500,"45,599","82,458",19.56,"238,383",195.41,4.12,
69,현대중공업지주,"288,500","3,000",+1.05%,"5,000","45,579","15,799",17.36,"81,658",-17.48,2.20,
70,SK케미칼,"385,500",500,+0.13%,"5,000","45,263","11,741",17.45,"175,386",17.59,1.51,
71,현대건설,"40,550",700,+1.76%,"5,000","45,155","111,356",18.78,"1,702,652",19.77,6.30,
72,LG이노텍,"188,000","5,500",+3.01%,"5,000","44,494","23,667",32.94,"478,402",34.08,4.73,
73,한진칼,"63,600",100,+0.16%,"2,500","42,143","66,263",15.23,"128,624",-10.49,-17.56,
74,CJ대한통운,"174,500","2,500",+1.45%,"5,000","39,808","22,812",21.37,"111,190",31.46,1.41,
75,맥쿼리인프라,"10,600",50,-0.47%,0,"39,452","372,192",14.10,"1,394,496",N/A,N/A,
76,삼성증권,"43,600","1,400",+3.32%,"5,000","38,935","89,300",25.58,"1,415,301",8.28,8.15,
77,SKC,"102,000",0,0.00%,"5,000","38,626","37,868",7.75,"452,083",45.27,3.86,
78,롯데지주,"36,200",550,+1.54%,200,"37,977","104,909",11.23,"461,151",-5.30,-5.21,
79,삼성카드,"32,300",500,+1.57%,"5,000","37,422","115,859",10.24,"277,782",9.08,5.04,
80,대웅,"64,100","2,000",-3.03%,500,"37,269","58,142",5.38,"2,463,949",73.85,10.43,
81,GS,"39,500","1,200",+3.13%,"5,000","36,702","92,915",18.88,"1,049,076",-42.84,6.26,
82,두산퓨얼셀,"55,700","1,200",+2.20%,100,"36,480","65,494",18.56,"3,042,108",163.34,N/A,
83,키움증권,"147,500","5,500",+3.87%,"5,000","35,429","24,019",22.33,"544,589",6.51,16.97,
84,NH투자증권,"12,150",100,+0.83%,"5,000","34,191","281,409",14.98,"2,897,364",5.90,9.12,
85,쌍용양회,"6,760",10,+0.15%,100,"34,061","503,860",3.02,"2,054,269",27.15,7.02,
86,동서,"33,350",150,+0.45%,500,"33,250","99,700",4.36,"158,044",24.04,10.53,
